dia,VIX,dia_fwd_25,VIX_fwd_25,VIX_change_pts,VIX_change_pct,PnL_fwd_pct_25,PnL_fwd_pts_25,tipo
2024-12-09,14.19,2025-04-28,25.15,10.959999999999999,77.23749119097955,-30.5,-3.325,DESASTRE
2025-01-16,16.6,2025-05-22,20.28,3.6799999999999997,22.168674698795176,-136.3,-14.175,DESASTRE
2021-12-17,21.57,2022-03-04,31.98,10.41,48.261474269819196,-38.8,-15.5,DESASTRE
2022-09-08,23.61,2023-01-11,21.09,-2.5199999999999996,-10.67344345616264,-117.74,-35.5,DESASTRE
2023-08-09,15.96,2024-02-07,12.83,-3.130000000000001,-19.611528822055142,-63.97,-23.35,DESASTRE
2025-01-16,16.6,2025-04-03,30.02,13.419999999999998,80.84337349397589,-73.3,-3.775,DESASTRE
2023-02-15,18.23,2023-05-25,19.14,0.9100000000000001,4.9917718047175,-108.11,-36.975,DESASTRE
2022-10-14,32.02,2023-02-06,19.43,-12.590000000000003,-39.31917551530294,-515.49,-73.2,DESASTRE
2022-12-13,22.55,2023-05-09,17.71,-4.84,-21.463414634146343,-415.0,-112.05,DESASTRE
2022-10-12,33.57,2022-12-30,21.67,-11.899999999999999,-35.448316949657425,-69.88,-11.95,DESASTRE
2022-10-14,32.02,2023-05-26,17.95,-14.070000000000004,-43.94128669581512,-339.17,-135.5,DESASTRE
2024-07-08,12.37,2024-10-07,22.64,10.270000000000001,83.02344381568312,-677.78,-30.5,DESASTRE
2022-12-12,25.0,2023-04-05,19.08,-5.920000000000002,-23.680000000000007,-637.12,-103.85,DESASTRE
2022-12-30,21.67,2023-04-05,19.08,-2.5900000000000034,-11.95200738347948,-227.97,-59.5,DESASTRE
2022-11-29,21.89,2023-05-01,16.08,-5.810000000000002,-26.54179990863409,-440.19,-128.975,DESASTRE
2022-10-12,33.57,2022-12-30,21.67,-11.899999999999999,-35.448316949657425,-48.45,-14.85,DESASTRE
2022-11-01,25.81,2023-03-03,18.49,-7.32,-28.361100348702056,-625.58,-107.6,DESASTRE
2023-01-24,19.2,2023-05-10,16.94,-2.259999999999998,-11.770833333333323,-67.96,-27.15,DESASTRE
2021-11-15,16.49,2022-02-02,22.09,5.600000000000001,33.959975742874484,-42.33,-4.275,DESASTRE
2024-06-24,13.33,2024-10-30,20.35,7.020000000000001,52.663165791447874,-97.37,-20.4,DESASTRE
2022-12-28,22.14,2023-04-17,16.95,-5.190000000000001,-23.44173441734418,-367.79,-59.95,DESASTRE
2022-01-19,23.85,2022-04-14,22.7,-1.1500000000000021,-4.82180293501049,-25.05,-6.075,DESASTRE
2024-10-30,20.35,2025-04-02,21.51,1.1600000000000001,5.7002457002457,-785.83,-23.575,DESASTRE
2023-01-11,21.09,2023-04-24,16.89,-4.199999999999999,-19.91465149359886,-202.21,-57.225,DESASTRE
2022-11-02,25.86,2023-03-06,18.61,-7.25,-28.03557617942769,-305.11,-106.025,DESASTRE
2019-01-22,20.8,2019-05-31,18.71,-2.09,-10.048076923076922,-206.88,-25.55,DESASTRE
2019-10-11,15.58,2020-03-18,76.45,60.870000000000005,390.6931964056483,-80.71,-11.3,DESASTRE
2024-12-19,24.09,2025-05-14,18.62,-5.469999999999999,-22.706517227065167,-79.92,-30.45,DESASTRE
2022-03-10,30.23,2022-06-01,25.69,-4.539999999999999,-15.018193847171682,-47.34,-13.325,DESASTRE
2022-11-28,22.21,2023-04-28,15.78,-6.4300000000000015,-28.950923007654218,-452.53,-129.425,DESASTRE
2021-11-26,28.62,2022-02-18,27.75,-0.870000000000001,-3.0398322851153075,-87.19,-24.5,DESASTRE
2022-12-19,22.42,2023-05-12,17.03,-5.390000000000001,-24.041034790365746,-316.91,-120.9,DESASTRE
2024-04-03,14.33,2024-11-13,14.02,-0.3100000000000005,-2.163293789253318,-33.38,-10.8,DESASTRE
2024-04-19,18.71,2024-08-09,20.37,1.6600000000000001,8.872260823089258,-205.24,-48.95,DESASTRE
2022-09-14,26.16,2022-12-12,25.0,-1.1600000000000001,-4.434250764525995,-40.2,-14.05,DESASTRE
2022-12-09,22.83,2023-03-03,18.49,-4.34,-19.01007446342532,-230.55,-67.55,DESASTRE
2024-10-24,19.08,2025-03-28,21.65,2.5700000000000003,13.469601677148848,-58.13,-15.375,DESASTRE
2024-03-27,12.78,2024-09-06,22.38,9.6,75.11737089201877,-215.86,-78.25,DESASTRE
2024-11-22,15.24,2025-02-14,14.77,-0.47000000000000064,-3.08398950131234,-121.05,-12.65,DESASTRE
